max_depth,max_features,min_samples_split,min_samples_leaf,fit_time_sec,experiment_id
34,34,3,8,0.14064383506774902,c918cdc4-4b3f-470f-9dc3-df7f07835fed
8,233,3,8,0.14043188095092773,fdc9f9d7-4757-45bc-a704-3d1c535651ba
13,55,3,8,0.13168740272521973,fa9a3bd5-2760-4e99-81f6-7157ff3ce547
5,377,3,8,0.12717604637145996,e15b8588-4268-4b9e-b3bf-8682b467ce6d
21,4181,5,13,0.15195512771606445,d7c34e7a-5b43-4269-94e2-505695371e16
2584,4181,5,13,0.13858890533447266,37b44674-23a1-45a8-9010-a3cbea532c5a
4181,1597,8,21,0.22645187377929688,12a7f5d6-3390-4273-bcc0-51e6d5bb057c
377,1597,5,8,0.1294560432434082,f0172b44-1997-4ea1-8810-0666d690e7db
377,987,5,5,0.13003325462341309,327a25f8-104a-40f2-a24c-65c85f38d383
610,4181,5,3,0.17378592491149902,e1e8dbf2-a7bb-4e67-85ee-ac3f53681f87
4181,4181,3,3,0.12990951538085938,1c96d0d7-db07-485f-970f-9c913f6eb458
